Date,Open,High,Low,Close,Volume
2015/1/1,318.2,321.4,313.5,314.9,12.82K
2015/1/2,314.9,316.4,313.1,315.2,14.73K
2015/1/3,315.2,315.8,284.9,287.1,47.37K
2015/1/4,287.1,289.9,255.9,264.7,88.77K
2015/1/5,264.7,278.3,262.9,274.8,54.99K
2015/1/6,274.8,285.1,271.5,282.3,21.94K
2015/1/7,282.3,296.1,280.7,291.3,30.67K
2015/1/8,291.3,292.7,279,282.7,20.18K
2015/1/9,282.7,290.6,277.3,288,20.93K
2015/1/10,288,289.3,272,273.4,14.73K
2015/1/11,273.4,278,263.8,264.8,15.11K
2015/1/12,264.8,273.1,263.3,269.3,25.39K
2015/1/13,269.3,269.1,217.1,221.3,95.50K
2015/1/14,221.3,230.9,157.3,164.9,170.68K
2015/1/15,164.9,231.3,164.6,209.8,124.67K
2015/1/16,209.8,222.6,198.7,206.9,62.32K
2015/1/17,206.9,212.6,191.7,199.6,43.13K
2015/1/18,199.6,220.7,192.5,210.6,40.37K
2015/1/19,210.6,219.5,205.5,215.9,31.58K
2015/1/20,215.9,216.6,203.4,210.6,37.48K
2015/1/21,210.6,229.3,207.1,228.2,43.18K
2015/1/22,228.2,238.8,225.6,232.7,53.71K
2015/1/23,232.7,237,224.8,232.2,38.17K
2015/1/24,232.2,248.9,229.6,248.2,33.24K
2015/1/25,248.2,256.4,241.4,252.1,50.19K
2015/1/26,252.1,310.9,251.5,269.2,105.71K
2015/1/27,269.2,276.9,247.3,263.3,50.26K
2015/1/28,263.3,267.7,228.1,236.2,63.77K
2015/1/29,236.2,241.5,220.4,234,54.49K
2015/1/30,234,244.8,227.2,231.8,48.23K
2015/1/31,231.8,235.4,216.5,218.5,42.15K
2015/2/1,218.5,231.4,209.7,225.3,41.16K
2015/2/2,225.3,242.5,220.5,238.9,39.02K
2015/2/3,238.9,247.5,223.9,227.4,63.08K
2015/2/4,227.4,230.7,220.2,226.6,55.24K
2015/2/5,226.6,229.9,214.4,216.5,40.64K
2015/2/6,216.5,226.2,215.6,223,52.52K
2015/2/7,223,231,222.4,227.7,39.76K
2015/2/8,227.7,230.2,219.5,223.7,29.05K
2015/2/9,223.7,225,215.7,220.3,91.69K
2015/2/10,220.3,222.2,214.4,219.7,86.15K
2015/2/11,219.7,223.5,217.3,218.8,71.73K
2015/2/12,218.8,223,217.3,221.8,50.11K
2015/2/13,221.8,241.6,220.6,236.2,112.25K
2015/2/14,236.2,261.3,235.4,258.6,133.80K
2015/2/15,258.6,264.6,226.6,233.3,179.14K
2015/2/16,233.3,240,228,235.8,115.47K
2015/2/17,235.8,247.2,232,243.2,116.26K
2015/2/18,243.2,245.5,231.7,235.2,99.66K
2015/2/19,235.2,244.1,234.9,241.9,66.05K
2015/2/20,241.9,247.8,238.8,244.5,83.59K
2015/2/21,244.5,247.3,242.6,244.4,42.95K
2015/2/22,244.4,246.5,232.7,235.7,75.70K
2015/2/23,235.7,240.1,231.3,238.8,62.67K
2015/2/24,238.8,240.3,235.5,238.9,45.03K
2015/2/25,238.9,239.6,234.6,237.3,38.10K
2015/2/26,237.3,238.2,233.5,236.5,50.87K
2015/2/27,236.5,258.7,235.7,253.5,167.81K
2015/2/28,253.5,255.4,248.7,254.1,39.41K
2015/3/1,254.1,260.6,244.8,257.9,51.33K
2015/3/2,257.9,274.8,256.1,273.8,81.09K
2015/3/3,273.8,287.1,266.1,280.6,164.82K
2015/3/4,280.6,284.5,265.9,271.9,139.00K
2015/3/5,271.9,280.8,262.8,275.2,123.64K
2015/3/6,275.2,278,269,272.6,98.80K
2015/3/7,272.6,278.3,269.4,274.9,60.72K
2015/3/8,274.9,278.8,271.3,274.5,50.40K
2015/3/9,274.5,293.3,273.8,290,151.77K
2015/3/10,290,301,288.1,291.4,158.18K
2015/3/11,291.4,297.7,288.9,295.6,79.98K
2015/3/12,295.6,297,290.8,293.9,107.32K
2015/3/13,293.9,294.9,286.1,287.2,97.34K
2015/3/14,287.2,288.4,279.3,281.6,75.72K
2015/3/15,281.6,286.4,280.4,284.9,39.46K
2015/3/16,284.9,294,284.8,290.4,66.34K
2015/3/17,290.4,292.5,283.3,285.4,65.01K
2015/3/18,285.4,285.6,248.2,255.9,206.74K
2015/3/19,255.9,264.8,247,260.9,180.69K
2015/3/20,260.9,264.7,257.9,261.8,52.83K
2015/3/21,261.8,263.3,254,259.7,51.65K
2015/3/22,259.7,270.4,259,268.6,56.63K
2015/3/23,268.6,271,259.4,265.5,81.45K
2015/3/24,265.5,267,242.7,246.7,151.09K
2015/3/25,246.7,249.2,234.8,246.4,131.44K
2015/3/26,246.4,254.7,243.5,248,89.47K
2015/3/27,248,250.1,244.5,247.2,62.56K
2015/3/28,247.2,254.3,246.3,252,55.06K
2015/3/29,252,252.8,238.9,242.1,77.54K
2015/3/30,242.1,248.8,236.6,246.8,85.33K
2015/3/31,246.8,248.7,241.2,244.1,75.33K
2015/4/1,244.1,247.7,239.6,246.2,67.08K
2015/4/2,246.2,254.9,244.3,252.6,81.37K
2015/4/3,252.6,256.5,251.3,254.5,71.74K
2015/4/4,254.5,255.2,250.3,252.9,30.72K
2015/4/5,252.9,260.3,250.6,259.6,43.83K
2015/4/6,259.6,261.5,252.3,255,45.93K
2015/4/7,255,255.6,250.1,253,44.79K
2015/4/8,253,254.3,242.6,244.6,102.65K
2015/4/9,244.6,246.2,237.6,243.3,69.19K
2015/4/10,243.3,244.1,231.3,234.7,100.20K
2015/4/11,234.7,240,233.1,236.5,51.99K
2015/4/12,236.5,237.5,232.3,235.9,33.03K
2015/4/13,235.9,236.8,220.4,223.6,105.15K
2015/4/14,223.6,224.7,214.3,218,115.19K
2015/4/15,218,223.6,217.1,223,77.23K
2015/4/16,223,229.5,222.9,228,84.89K
2015/4/17,228,229.3,220.6,222.6,66.92K
2015/4/18,222.6,224.5,220.6,223.4,36.54K
2015/4/19,223.4,226.9,222,223,35.50K
2015/4/20,223,226.7,221.6,224.2,44.87K
2015/4/21,224.2,235.3,223.3,233.7,68.35K
2015/4/22,233.7,238.4,231.8,233.8,77.56K
2015/4/23,233.8,236.1,232.6,235.4,42.45K
2015/4/24,235.4,236.6,229.1,231.1,69.78K
2015/4/25,231.1,232.3,223.1,226.1,43.78K
2015/4/26,226.1,226.7,214.1,218.7,100.77K
2015/4/27,218.7,242.6,216.6,229,123.41K
2015/4/28,229,229.9,222,225.8,65.97K
2015/4/29,225.8,227.2,222.3,225.4,60.89K
2015/4/30,225.4,240,224.7,235.8,112.24K
2015/5/1,235.8,239.4,232.4,233.2,60.14K
2015/5/2,233.2,236.4,231.7,235.3,37.08K
2015/5/3,235.3,243.6,233.8,240,55.72K
2015/5/4,240,243.2,237.4,239,69.12K
2015/5/5,239,239.6,231.8,235.8,77.87K
2015/5/6,235.8,237.1,228.2,230,103.66K
2015/5/7,230,240.3,228.3,237.7,91.05K
2015/5/8,237.7,247,235.8,243.7,87.50K
2015/5/9,243.7,247.9,238.5,241.4,62.79K
2015/5/10,241.4,244.8,238.2,240,44.00K
2015/5/11,240,243.9,238.9,241.8,57.17K
2015/5/12,241.8,243,239.2,241.6,40.08K
2015/5/13,241.6,243.9,234.1,236.4,84.43K
2015/5/14,236.4,239.2,232.4,236.9,71.02K
2015/5/15,236.9,238.8,235.5,237.2,46.03K
2015/5/16,237.2,237.8,234.6,236.2,27.05K
2015/5/17,236.2,237.8,235.4,236.3,28.43K
2015/5/18,236.3,237.1,231.5,232.6,53.14K
2015/5/19,232.6,234.5,231.3,232,40.94K
2015/5/20,232,235.2,231.5,234,49.69K
2015/5/21,234,236.6,233.6,235.4,42.94K
2015/5/22,235.4,242,234.6,240.4,74.11K
2015/5/23,240.4,241.7,238.1,238.9,36.03K
2015/5/24,238.9,242.4,237.5,241,30.26K
2015/5/25,241,241.8,235.8,237.4,26.39K
2015/5/26,237.4,239,235.6,237.8,37.08K
2015/5/27,237.8,238.9,235.9,237.3,48.03K
2015/5/28,237.3,238.4,236.2,237.3,35.75K
2015/5/29,237.3,237.9,235.1,237,38.92K
2015/5/30,237,237.1,231.6,233.2,41.63K
2015/5/31,233.2,234,229.1,229.8,39.00K
2015/6/1,229.8,231.8,221,223.1,87.06K
2015/6/2,223.1,227.4,222.3,225.7,60.81K
2015/6/3,225.7,227.9,223.7,225.6,54.35K
2015/6/4,225.6,226.7,223.5,224.2,44.06K
2015/6/5,224.2,226.4,222.1,225.3,56.46K
2015/6/6,225.3,225.8,223.5,224.7,22.47K
2015/6/7,224.7,226.4,222.2,223.5,40.48K
2015/6/8,223.5,229.9,223,228.6,74.15K
2015/6/9,228.6,231.4,227.5,229.6,54.84K
2015/6/10,229.6,230.4,227.8,228.8,41.64K
2015/6/11,228.8,230.6,228.5,229.9,38.00K
2015/6/12,229.9,231.6,229.3,230.5,40.75K
2015/6/13,230.5,233.1,229,232.5,38.01K
2015/6/14,232.5,235.5,232.1,233.8,32.90K
2015/6/15,233.8,238.6,233.3,237,63.47K
2015/6/16,237,254.1,235.7,249.8,122.47K
2015/6/17,249.8,258.5,245.1,247.4,121.62K
2015/6/18,247.4,251.9,242.5,248.4,78.14K
