Date,Close,Open,High,Low,Volume
2017/3/4,43.79,47.85,75.58,43.33,44.06K
2017/3/5,42.77,43.79,44.97,40,23.85K
2017/3/6,46.38,42.77,47.58,42.77,19.30K
2017/3/7,45.93,46.38,46.89,43.54,6.51K
2017/3/8,42.5,45.93,45.93,42,5.78K
2017/3/9,51.66,42.5,53.97,41.4,37.39K
2017/3/10,50.24,51.66,56.99,43,24.51K
2017/3/11,72,50.24,74.18,50,80.18K
2017/3/12,78,72,80.99,64.5,37.16K
2017/3/13,75,78,82.1,69.23,57.28K
2017/3/14,88.7,75,93.27,73.01,104.01K
2017/3/15,96.85,88.7,105.42,85.51,270.15K
2017/3/16,89,96.85,99.45,79.34,202.69K
2017/3/17,96,89,99.1,79.6,142.65K
2017/3/18,107.91,96,115,91.63,308.12K
2017/3/19,104.99,107.91,112.13,96,143.08K
2017/3/20,98.15,104.99,109.99,98,67.12K
2017/3/21,95,98.15,103,89.45,165.45K
2017/3/22,101.1,95,108,88.91,114.70K
2017/3/23,101.52,101.1,103.02,97.5,22.78K
2017/3/24,94.4,101.52,107.79,85.01,137.83K
2017/3/25,93.15,94.4,99.84,86.1,64.38K
2017/3/26,93.93,93.15,95.71,90,35.96K
2017/3/27,84.32,93.93,93.93,76.26,183.43K
2017/3/28,86.92,84.32,90,80.28,46.40K
2017/3/29,84.4,86.92,87.6,82,86.95K
2017/3/30,78.78,84.4,85,75.6,106.60K
2017/3/31,72.45,78.78,78.78,64.8,289.71K
2017/4/1,68.23,72.45,72.8,66.5,62.88K
2017/4/2,57,68.23,70.47,53.8,217.50K
2017/4/3,63.87,57,68.2,47.53,339.73K
2017/4/4,69.49,63.87,72.22,56.51,176.30K
2017/4/5,75.39,69.49,79,65.48,127.16K
2017/4/6,67.09,75.39,75.5,65.2,88.72K
2017/4/7,67.4,67.09,71.2,65,51.62K
2017/4/8,68.49,67.4,70.9,66.62,43.78K
2017/4/9,66.38,68.49,69.99,65.78,32.09K
2017/4/10,62.89,66.38,67,60.55,54.70K
2017/4/11,62,62.89,64.29,60.45,57.84K
2017/4/12,69.67,62,69.89,60.51,125.21K
2017/4/13,73.5,69.67,77.77,66.96,142.69K
2017/4/14,72.72,73.5,74.79,70.1,73.14K
2017/4/15,76.79,72.72,80,71.02,67.91K
2017/4/16,77.06,76.79,78.77,75.81,29.15K
2017/4/17,78.2,77.06,79.31,75.53,26.68K
2017/4/18,75.66,78.2,78.9,73.11,37.62K
2017/4/19,74.9,75.66,78.97,74.75,15.16K
2017/4/20,75.7,74.9,76.5,74.05,17.66K
2017/4/21,76.15,75.7,77.96,74.86,32.28K
2017/4/22,77.3,76.15,78,75.51,16.32K
2017/4/23,76.83,77.3,78.4,76.4,9.87K
2017/4/24,77.79,76.83,78.1,76,21.69K
2017/4/25,78.23,77.79,78.8,77.08,25.66K
2017/4/26,78.32,78.23,78.6,76.42,16.32K
2017/4/27,85.27,78.32,89,77.55,74.89K
2017/4/28,85.69,85.27,87.07,82.76,39.87K
2017/4/29,102.46,85.69,109.27,85.69,260.31K
2017/4/30,98.01,102.46,105.3,95.65,62.50K
2017/5/1,94.82,98.01,103.5,90.01,124.24K
2017/5/2,92.4,94.82,96.48,90.06,93.95K
2017/5/3,97.57,92.4,97.8,91.01,89.21K
2017/5/4,97.36,97.57,101.97,92.75,133.12K
2017/5/5,98.38,97.36,108.2,95.5,149.58K
2017/5/6,100.98,98.38,103.03,97.21,34.82K
2017/5/7,108.7,100.98,114,99.01,108.21K
2017/5/8,100,108.7,109.7,96.5,72.06K
2017/5/9,92.78,100,102.96,82,149.65K
2017/5/10,91.93,92.78,97.41,90.92,28.95K
2017/5/11,92.29,91.93,95.09,90.3,28.05K
2017/5/12,88,92.29,93.95,87.13,22.56K
2017/5/13,91.16,88,91.21,85.4,40.15K
2017/5/14,91.05,91.16,93,90,4.66K
2017/5/15,94,91.05,94,83.03,44.25K
2017/5/16,87.37,94,94,86.52,15.00K
2017/5/17,85.05,87.37,95,80.17,81.88K
2017/5/18,92.45,85.05,92.98,84.63,33.53K
2017/5/19,98.35,92.45,102.5,90,90.50K
2017/5/20,100.64,98.35,106,98.35,62.01K
2017/5/21,100.81,100.64,102.14,97.5,28.44K
2017/5/22,116.6,100.81,143.93,95,362.78K
2017/5/23,133.73,116.6,139,114,120.20K
2017/5/24,142.13,133.73,166.84,133.73,187.82K
2017/5/25,117.98,142.13,144.02,116,127.69K
2017/5/26,109.67,117.98,135,106.45,88.82K
2017/5/27,96.5,109.67,113.8,84,139.66K
2017/5/28,102.24,96.5,112.33,96,61.23K
2017/5/29,114.65,102.24,116,99.03,47.39K
2017/5/30,118.23,114.65,124.64,112,74.22K
2017/5/31,131.15,118.23,138.43,110.02,79.05K
2017/6/1,131.12,131.15,144.19,125,75.18K
2017/6/2,141.93,131.12,141.97,130.01,36.80K
2017/6/3,140.17,141.93,145,138,29.48K
2017/6/4,142.37,140.17,142.38,136,19.92K
2017/6/5,142.13,142.37,144.88,137.92,30.14K
2017/6/6,144.69,142.13,146.6,129,98.39K
2017/6/7,137.22,144.69,152.6,133.44,79.78K
2017/6/8,144.05,137.22,144.99,135.22,23.35K
2017/6/9,148.61,144.05,149.75,143.35,16.46K
2017/6/10,146.8,148.61,151.92,141.29,33.39K
2017/6/11,186,146.8,199,146.8,265.07K
2017/6/12,165.33,186,194.65,150,91.39K
2017/6/13,180.9,165.33,181.7,164.09,58.88K
2017/6/14,156.71,180.9,190,146.55,163.36K
2017/6/15,157,156.71,160.9,132.03,63.92K
2017/6/16,159.72,157,162,149.26,18.53K
2017/6/17,178,159.72,185.6,153,73.97K
2017/6/18,188,178,188,169,40.20K
2017/6/19,195.31,188,198,185.93,69.28K
2017/6/20,188.53,195.31,199,180,42.76K
2017/6/21,178.38,188.53,193.56,169,27.78K
2017/6/22,181.05,178.38,186.5,173.5,17.99K
2017/6/23,185,181.05,189.78,179.73,10.46K
2017/6/24,175.03,185,185.9,170.5,13.60K
2017/6/25,165.32,175.03,176.77,159,42.27K
2017/6/26,161.16,165.32,167.45,141.15,66.64K
2017/6/27,172.2,161.16,172.76,142.25,57.18K
2017/6/28,181.17,172.2,183.03,166.62,52.98K
2017/6/29,173.59,181.17,181.17,166,38.47K
2017/6/30,173.82,173.59,181.19,173.02,22.21K
2017/7/1,158.69,173.82,177,157,25.02K
2017/7/2,169.6,158.69,170.5,157,17.06K
2017/7/3,178.21,169.6,183,167.39,27.37K
2017/7/4,182.33,178.21,188.06,177.02,23.52K
2017/7/5,208.37,182.33,213.05,178.25,112.02K
2017/7/6,208.14,208.37,225.55,202,90.12K
2017/7/7,190.34,208.14,210.37,185.62,49.55K
2017/7/8,210,190.34,210,183.33,54.03K
2017/7/9,194.5,210,211,194,23.07K
2017/7/10,170,194.5,198.11,165,58.73K
2017/7/11,163,170,179.4,152.01,79.63K
2017/7/12,178.5,163,179.12,152.32,36.74K
2017/7/13,169.32,178.5,181.99,163.53,35.38K
2017/7/14,160.22,169.32,171.99,152.04,24.76K
2017/7/15,138.53,160.22,161.97,136.84,72.55K
2017/7/16,131.21,138.53,144.13,120,122.75K
2017/7/17,152.94,131.21,153.8,131.21,51.48K
2017/7/18,156.16,152.94,166.6,145,40.56K
2017/7/19,154.54,156.16,170.49,152.18,28.59K
2017/7/20,190.91,154.54,196,154.54,104.23K
2017/7/21,185.84,190.91,198,180.76,50.42K
2017/7/22,198.46,185.84,198.72,185.18,27.99K
2017/7/23,193.22,198.46,199,186.36,18.06K
2017/7/24,206,193.22,218.95,190,78.43K
2017/7/25,192.13,206,213.79,184.03,55.42K
2017/7/26,194.15,192.13,202.24,183.51,35.49K
2017/7/27,193.4,194.15,199.66,190.89,38.52K
2017/7/28,185.46,193.4,196.46,180.07,36.81K
2017/7/29,185.57,185.46,187.99,168.67,53.89K
2017/7/30,171.52,185.57,188,169.78,28.18K
2017/7/31,176.19,171.52,179.78,168,27.28K
2017/8/1,184.31,176.19,186,174.2,66.62K
2017/8/2,182.06,184.31,185.67,180,21.40K
2017/8/3,187.8,182.06,191.67,178.21,25.44K
2017/8/4,187.19,187.8,191.17,185.7,23.09K
2017/8/5,193,187.19,197.5,185.7,52.87K
2017/8/6,188.8,193,196.41,188.5,20.08K
2017/8/7,196.58,188.8,199.06,186.83,46.28K
2017/8/8,204.66,196.58,206.43,191.57,26.65K
2017/8/9,199.01,204.66,206.66,191.35,29.61K
2017/8/10,200.31,199.01,207.04,194.09,33.06K
2017/8/11,205.84,200.31,208.9,198,30.11K
2017/8/12,204.36,205.84,211.18,200,34.92K
2017/8/13,197.72,204.36,208.56,190.72,51.21K
2017/8/14,199.42,197.72,203.76,193.6,31.15K
2017/8/15,202.99,199.42,205.8,190,50.43K
2017/8/16,231.39,202.99,234.95,197.61,94.40K
2017/8/17,234.32,231.39,262.78,227.88,157.97K
2017/8/18,222.09,234.32,240,216.83,39.15K
2017/8/19,285,222.09,318.99,222.09,228.70K
2017/8/20,291.11,285,323.99,282.01,98.63K
2017/8/21,281.46,291.11,299,275.01,36.51K
2017/8/22,291.22,281.46,302.87,252.7,81.10K
2017/8/23,292.5,291.22,297.55,285.96,38.34K
2017/8/24,314.53,292.5,314.7,289.75,41.49K
2017/8/25,314.08,314.53,320.99,305.22,51.20K
2017/8/26,396.2,314.08,412.77,313.75,210.39K
