Date,Close,Open,High,Low,Volume
2016/3/10,11.75,11.2,11.85,11.07,0.00K
2016/3/11,11.95,11.75,11.95,11.75,0.18K
2016/3/12,12.92,11.95,13.45,11.95,0.83K
2016/3/13,15.07,12.92,15.07,12.92,1.30K
2016/3/14,12.5,15.07,15.07,11.4,92.18K
2016/3/15,13.06,12.63,13.42,11.98,39.73K
2016/3/16,12.88,13.06,13.89,12.62,19.24K
2016/3/17,10.74,12.58,12.61,10.44,89.45K
2016/3/18,10.74,11.09,11.2,8.34,157.37K
2016/3/19,10.31,10.97,11.1,9.78,67.55K
2016/3/20,10.18,10.55,10.88,9.56,33.18K
2016/3/21,11.95,10.18,12.05,10.14,38.86K
2016/3/22,11.37,11.53,11.97,11.08,26.29K
2016/3/23,12.43,11.37,12.43,11.2,27.02K
2016/3/24,11.2,12.43,12.47,10.67,50.80K
2016/3/25,10.67,11.32,11.35,10.52,87.42K
2016/3/26,11,10.67,11.2,10.58,16.12K
2016/3/27,10.4,10.93,10.98,10.17,55.81K
2016/3/28,11.62,10.4,11.94,10.4,77.31K
2016/3/29,11.79,11.78,11.88,11.37,47.57K
2016/3/30,11.85,11.79,12.3,11.44,36.96K
2016/3/31,11.41,11.92,12.02,11.29,32.67K
2016/4/1,11.62,11.41,11.94,11.39,22.20K
2016/4/2,11.61,11.65,11.77,11.43,12.17K
2016/4/3,11.75,11.61,11.76,11.4,18.85K
2016/4/4,11.15,11.6,11.67,10.88,38.74K
2016/4/5,10.4,11.15,11.15,9.7,53.39K
2016/4/6,10.76,10.4,10.96,10.2,40.04K
2016/4/7,10.12,10.76,10.85,9.4,50.74K
2016/4/8,9.71,10.05,10.34,9.6,25.97K
2016/4/9,9.15,9.69,10.2,9,64.96K
2016/4/10,8.76,9.15,9.43,7.52,171.99K
2016/4/11,8.68,8.56,8.93,8.01,60.28K
2016/4/12,7.53,8.53,8.54,7.21,63.82K
2016/4/13,8.09,7.48,8.8,6.86,142.21K
2016/4/14,8.46,8.08,8.86,8,36.15K
2016/4/15,8.32,8.39,8.69,8.1,30.48K
2016/4/16,8.54,8.23,8.68,8.18,29.26K
2016/4/17,9.46,8.7,10.9,8.61,96.05K
2016/4/18,8.97,9.3,9.55,8.44,37.88K
2016/4/19,8.71,8.97,9.38,8.65,35.26K
2016/4/20,8.61,8.73,9.05,8.35,167.71K
2016/4/21,8.11,8.61,8.8,8,45.52K
2016/4/22,7.97,8.23,8.41,7.73,97.37K
2016/4/23,8.46,7.95,8.8,7.81,89.57K
2016/4/24,8.1,8.35,8.5,8.01,52.06K
2016/4/25,7.54,8.05,8.15,7.32,207.06K
2016/4/26,7.5,7.56,7.6,7.12,129.27K
2016/4/27,7.8,7.4,7.99,7.31,90.46K
