Date,Close,Open,High,Low,Volume
2015/1/30,0.3,0.311,0.35,0.303,1.33K
2015/1/31,0.29,0.303,0.303,0.29,0.48K
2015/2/1,0.29,0.29,0.29,0.29,-
2015/2/2,0.3,0.29,0.303,0.287,0.35K
2015/2/3,0.33,0.303,0.36,0.302,1.47K
2015/2/4,0.29,0.331,0.331,0.275,2.12K
2015/2/5,0.28,0.292,0.368,0.273,2.43K
2015/2/6,0.28,0.275,0.277,0.274,0.69K
2015/2/7,0.28,0.275,0.275,0.275,-
2015/2/8,0.28,0.275,0.275,0.275,-
2015/2/9,0.28,0.275,0.275,0.275,-
2015/2/10,0.28,0.275,0.275,0.275,-
2015/2/11,0.28,0.275,0.275,0.275,-
2015/2/12,0.28,0.275,0.275,0.275,-
2015/2/13,0.28,0.275,0.275,0.275,-
2015/2/14,0.28,0.275,0.275,0.275,-
2015/2/15,0.28,0.275,0.275,0.275,-
2015/2/16,0.28,0.275,0.275,0.275,-
2015/2/17,0.1,0.52,0.52,0.01,0.07K
2015/2/18,0.1,0.099,0.099,0.099,-
2015/2/19,0.26,0.099,0.35,0.089,0.99K
2015/2/20,0.25,0.26,0.26,0.25,0.64K
2015/2/21,0.25,0.25,0.25,0.25,-
2015/2/22,0.3,0.25,0.32,0.25,0.23K
2015/2/23,0.35,0.295,0.35,0.295,0.88K
2015/2/24,0.25,0.35,0.38,0.25,0.06K
2015/2/25,0.25,0.25,0.25,0.25,-
2015/2/26,0.25,0.25,0.38,0.25,-
2015/2/27,0.25,0.25,0.25,0.25,-
2015/2/28,0.35,0.25,0.55,0.25,0.23K
2015/3/1,0.35,0.35,0.35,0.35,-
2015/3/2,0.54,0.35,0.54,0.35,0.01K
2015/3/3,0.5,0.54,0.54,0.35,-
2015/3/4,0.5,0.497,0.497,0.497,-
2015/3/5,0.26,0.497,0.497,0.26,-
2015/3/6,0.5,0.26,0.497,0.26,0.01K
2015/3/7,0.5,0.497,0.497,0.497,-
2015/3/8,0.5,0.497,0.497,0.26,-
2015/3/9,0.25,0.497,0.54,0.25,0.05K
2015/3/10,0.54,0.25,0.54,0.25,-
2015/3/11,0.26,0.54,0.84,0.261,0.13K
2015/3/12,0.26,0.261,0.261,0.261,-
2015/3/13,0.8,0.261,0.81,0.261,0.02K
2015/3/14,0.8,0.8,0.8,0.6,0.13K
2015/3/15,0.8,0.8,0.8,0.6,-
2015/3/16,0.4,0.8,0.8,0.4,0.08K
2015/3/17,0.4,0.4,0.4,0.4,-
2015/3/18,0.4,0.4,0.4,0.4,-
2015/3/19,0.4,0.4,0.4,0.4,-
2015/3/20,0.4,0.4,0.4,0.4,-
2015/3/21,1,0.4,1,0.4,-
2015/3/22,0.26,1,1,0.261,0.02K
2015/3/23,0.26,0.261,0.261,0.261,-
2015/3/24,0.28,0.261,0.878,0.261,-
2015/3/25,0.88,0.278,0.878,0.278,0.01K
2015/3/26,0.28,0.878,0.878,0.278,-
2015/3/27,0.28,0.278,0.878,0.278,-
2015/3/28,0.88,0.278,0.878,0.278,-
2015/3/29,0.28,0.878,0.878,0.278,-
2015/3/30,0.85,0.278,0.878,0.278,0.02K
2015/3/31,0.31,0.85,3,0.31,-
2015/4/1,0.33,0.31,0.33,0.31,-
2015/4/2,0.33,0.33,0.33,0.33,-
2015/4/3,0.33,0.33,0.33,0.33,-
2015/4/4,0.4,0.33,0.4,0.33,-
2015/4/5,0.34,0.4,1,0.33,0.17K
2015/4/6,0.34,0.34,0.34,0.34,-
2015/4/7,0.34,0.34,0.34,0.34,-
2015/4/8,0.34,0.34,0.34,0.34,-
2015/4/9,1,0.35,1,0.35,-
2015/4/10,0.8,1,1,0.35,0.12K
2015/4/11,0.78,0.8,0.95,0.78,0.08K
2015/4/12,0.92,0.78,0.94,0.78,-
2015/4/13,0.75,0.92,0.92,0.75,0.54K
2015/4/14,0.5,0.75,0.75,0.5,0.33K
2015/4/15,0.65,0.5,0.65,0.34,0.04K
2015/4/16,0.72,0.65,0.72,0.65,-
2015/4/17,0.72,0.72,0.72,0.65,0.08K
2015/4/18,0.34,0.72,0.72,0.34,-
2015/4/19,0.34,0.34,0.34,0.34,-
2015/4/20,0.34,0.34,0.34,0.34,-
2015/4/21,0.34,0.34,0.72,0.34,-
2015/4/22,0.7,0.34,0.75,0.34,0.05K
2015/4/23,0.72,0.7,0.75,0.34,0.07K
2015/4/24,0.34,0.719,0.719,0.34,0.01K
2015/4/25,0.34,0.34,0.34,0.34,-
2015/4/26,0.34,0.34,0.34,0.34,-
2015/4/27,0.59,0.34,0.59,0.34,0.01K
2015/4/28,0.59,0.59,0.59,0.59,-
2015/4/29,0.34,0.59,0.59,0.34,-
2015/4/30,0.34,0.34,0.34,0.34,-
2015/5/1,0.34,0.34,0.59,0.34,0.22K
2015/5/2,0.34,0.34,0.579,0.34,0.01K
2015/5/3,0.34,0.34,0.579,0.34,-
2015/5/4,0.34,0.34,0.34,0.34,0.01K
2015/5/5,0.34,0.34,0.579,0.34,0.07K
2015/5/6,0.34,0.34,0.579,0.34,0.01K
2015/5/7,0.34,0.34,0.579,0.34,-
2015/5/8,0.52,0.34,0.579,0.34,0.03K
2015/5/9,0.52,0.521,0.521,0.521,0.01K
2015/5/10,0.45,0.521,0.521,0.45,-
2015/5/11,0.4,0.45,0.45,0.36,-
2015/5/12,0.57,0.4,0.573,0.4,-
2015/5/13,0.57,0.573,0.573,0.573,-
2015/5/14,0.41,0.573,0.579,0.4,0.05K
2015/5/15,0.5,0.41,0.58,0.41,0.16K
2015/5/16,0.64,0.498,0.637,0.498,0.01K
2015/5/17,0.57,0.637,0.637,0.56,0.07K
2015/5/18,0.5,0.567,0.65,0.498,-
2015/5/19,0.51,0.498,0.51,0.498,0.05K
2015/5/20,0.31,0.51,0.64,0.306,0.06K
2015/5/21,0.5,0.34,0.618,0.34,0.28K
2015/5/22,0.28,0.5,0.513,0.278,-
2015/5/23,0.35,0.28,0.513,0.28,0.02K
2015/5/24,0.5,0.35,0.5,0.28,0.05K
2015/5/25,0.5,0.5,0.5,0.278,0.11K
2015/5/26,0.4,0.5,0.5,0.4,0.36K
2015/5/27,0.4,0.4,0.4,0.4,-
2015/5/28,0.4,0.4,0.4,0.4,-
2015/5/29,0.4,0.4,0.4,0.4,-
2015/5/30,0.49,0.4,0.49,0.4,-
2015/5/31,0.49,0.49,0.49,0.489,-
2015/6/1,0.4,0.489,0.489,0.4,0.05K
2015/6/2,0.4,0.4,0.489,0.4,0.04K
