Date,Close,Open,High,Low,Volume
2015/1/22,0.016,0.01523,0.0175,0.01523,-
2015/1/23,0.016,0.01602,0.017,0.016,-
2015/1/24,0.0174,0.016,0.01739,0.015,-
2015/1/25,0.017,0.01739,0.01739,0.0156,-
2015/1/26,0.0147,0.017,0.0175,0.01469,-
2015/1/27,0.0155,0.01469,0.017,0.01469,-
2015/1/28,0.015,0.0155,0.0167,0.0131,-
2015/1/29,0.0135,0.015,0.015,0.0131,-
2015/1/30,0.015,0.0135,0.015,0.0135,1.02K
2015/1/31,0.015,0.015,0.015,0.0135,1.22K
2015/2/1,0.0135,0.01499,0.01499,0.01351,0.10K
2015/2/2,0.0133,0.015,0.015,0.01327,-
2015/2/3,0.0148,0.01327,0.015,0.01327,-
2015/2/4,0.014,0.0148,0.0148,0.014,-
2015/2/5,0.0157,0.014,0.01573,0.013,-
2015/2/6,0.0155,0.01573,0.01695,0.014,0.34K
2015/2/7,0.0147,0.0155,0.0155,0.01401,0.22K
2015/2/8,0.0143,0.01468,0.01506,0.01428,-
2015/2/9,0.0135,0.01428,0.01467,0.0135,-
2015/2/10,0.0146,0.0135,0.01467,0.011,-
2015/2/11,0.0146,0.01464,0.01464,0.011,-
2015/2/12,0.0143,0.01462,0.01463,0.01101,-
2015/2/13,0.0145,0.0143,0.01472,0.01201,-
2015/2/14,0.012,0.01445,0.01508,0.012,-
2015/2/15,0.012,0.012,0.012,0.012,-
2015/2/16,0.0151,0.01509,0.01509,0.012,-
2015/2/17,0.013,0.01508,0.01508,0.01202,-
2015/2/18,0.015,0.01301,0.01499,0.01301,-
2015/2/19,0.0131,0.01499,0.01499,0.01307,-
2015/2/20,0.0131,0.01307,0.01498,0.01307,-
2015/2/21,0.0131,0.01307,0.0141,0.01307,0.00K
2015/2/22,0.0131,0.01307,0.01403,0.01307,-
2015/2/23,0.014,0.01307,0.01403,0.01307,-
2015/2/24,0.0134,0.01403,0.01403,0.01307,-
2015/2/25,0.014,0.01343,0.014,0.01307,-
2015/2/26,0.013,0.014,0.014,0.0116,0.04K
2015/2/27,0.0121,0.013,0.01398,0.0116,-
2015/2/28,0.0118,0.01206,0.0132,0.0116,-
2015/3/1,0.011,0.01178,0.01348,0.011,-
2015/3/2,0.0066,0.01101,0.01208,0.00661,-
2015/3/3,0.0085,0.00661,0.01205,0.00661,56.02K
2015/3/4,0.012,0.0085,0.012,0.00843,0.37K
2015/3/5,0.012,0.012,0.012,0.00933,4.58K
2015/3/6,0.0104,0.012,0.012,0.00923,0.01K
2015/3/7,0.0103,0.0104,0.012,0.0103,-
2015/3/8,0.0098,0.0103,0.01103,0.00976,-
2015/3/9,0.0098,0.00982,0.01098,0.0098,-
2015/3/10,0.0095,0.00981,0.01097,0.00883,-
2015/3/11,0.0077,0.00954,0.01093,0.0077,0.18K
2015/3/12,0.0108,0.0077,0.01088,0.0077,-
2015/3/13,0.0107,0.01082,0.01082,0.0082,-
2015/3/14,0.0111,0.01071,0.01197,0.01015,11.18K
2015/3/15,0.0106,0.01112,0.01167,0.01016,-
2015/3/16,0.0105,0.0106,0.01118,0.01016,-
2015/3/17,0.0105,0.01054,0.01118,0.01053,0.00K
2015/3/18,0.0102,0.01053,0.01496,0.01016,-
2015/3/19,0.0109,0.01024,0.01098,0.0079,-
2015/3/20,0.0075,0.01093,0.01093,0.0075,-
2015/3/21,0.0101,0.00752,0.01019,0.0075,-
2015/3/22,0.01,0.01011,0.0102,0.0094,-
2015/3/23,0.0097,0.01004,0.0102,0.00973,-
2015/3/24,0.0099,0.00973,0.00995,0.009,-
2015/3/25,0.0092,0.00994,0.00994,0.008,-
2015/3/26,0.0085,0.0092,0.0093,0.0085,-
2015/3/27,0.0088,0.0085,0.0088,0.0085,-
2015/3/28,0.009,0.00875,0.00895,0.00865,-
2015/3/29,0.0084,0.00895,0.00895,0.0083,-
2015/3/30,0.0082,0.0081,0.0085,0.0081,-
2015/3/31,0.0077,0.0082,0.0085,0.0075,-
2015/4/1,0.0079,0.00774,0.00798,0.00751,-
2015/4/2,0.0079,0.0079,0.0085,0.00761,-
2015/4/3,0.0089,0.00785,0.00928,0.00785,-
2015/4/4,0.0094,0.00893,0.00994,0.00846,-
2015/4/5,0.0088,0.00937,0.00946,0.0087,-
2015/4/6,0.0088,0.00884,0.00936,0.00845,-
2015/4/7,0.0091,0.00878,0.00936,0.00872,-
2015/4/8,0.0092,0.0091,0.00937,0.00879,0.00K
2015/4/9,0.0092,0.00918,0.0098,0.00793,0.03K
2015/4/10,0.0092,0.00919,0.0092,0.00892,-
2015/4/11,0.008,0.00918,0.00918,0.008,-
2015/4/12,0.008,0.008,0.00914,0.008,-
2015/4/13,0.0083,0.008,0.0084,0.008,-
2015/4/14,0.0083,0.00827,0.00827,0.00827,-
2015/4/15,0.0083,0.00827,0.00827,0.00827,-
2015/4/16,0.0083,0.00827,0.00827,0.00827,-
2015/4/17,0.0083,0.00827,0.00827,0.00827,-
2015/4/18,0.0083,0.00827,0.00827,0.00827,-
2015/4/19,0.0083,0.00827,0.00827,0.00827,-
2015/4/20,0.0036,0.0115,0.0115,0.00356,0.28K
2015/4/21,0.0036,0.00356,0.00356,0.00356,-
2015/4/22,0.004,0.004,0.0114,0.00356,3.00K
2015/4/23,0.0083,0.0082,0.00827,0.0082,-
2015/4/24,0.008,0.00827,0.0085,0.008,-
2015/4/25,0.008,0.00802,0.00819,0.00802,-
2015/4/26,0.0078,0.00802,0.00808,0.00778,-
2015/4/27,0.0081,0.00778,0.00806,0.00778,0.01K
2015/4/28,0.0077,0.00805,0.00805,0.0077,0.00K
2015/4/29,0.0076,0.0077,0.00806,0.00762,0.00K
2015/4/30,0.0085,0.00764,0.0085,0.00764,0.00K
2015/5/1,0.0085,0.0085,0.0085,0.0078,0.00K
2015/5/2,0.0084,0.0085,0.0085,0.00801,0.00K
2015/5/3,0.0078,0.00844,0.00844,0.0078,0.00K
2015/5/4,0.0082,0.0078,0.0085,0.0078,0.00K
2015/5/5,0.0078,0.00817,0.00849,0.0078,0.00K
2015/5/6,0.0077,0.00779,0.0079,0.00772,-
2015/5/7,0.0078,0.00772,0.008,0.00666,-
2015/5/8,0.0067,0.0078,0.0078,0.00666,-
2015/5/9,0.0078,0.00666,0.0078,0.00666,-
2015/5/10,0.0067,0.0078,0.0078,0.00666,-
2015/5/11,0.0067,0.00666,0.00666,0.00666,-
2015/5/12,0.0075,0.0075,0.0075,0.00666,0.89K
2015/5/13,0.0067,0.0075,0.0075,0.00666,-
2015/5/14,0.0075,0.00666,0.0075,0.00666,0.00K
